longitude,latitude,fuel_type_code,fuel_type_label,flammability
2061930.0,-3016100.0,940,Wildland urban interface 3,0.4
2062020.0,-3016100.0,940,Wildland urban interface 3,0.4
2062110.0,-3016100.0,940,Wildland urban interface 3,0.4
2062200.0,-3016100.0,940,Wildland urban interface 3,0.4
2062290.0,-3016100.0,520,Shrubland,0.72
2062380.0,-3016100.0,520,Shrubland,0.72
2062470.0,-3016100.0,800,Wetlands,0.1
2062560.0,-3016100.0,800,Wetlands,0.1
2062650.0,-3016100.0,800,Wetlands,0.1
2064990.0,-3016100.0,910,Water,0.0
2065080.0,-3016100.0,910,Water,0.0
2065170.0,-3016100.0,910,Water,0.0
2065260.0,-3016100.0,910,Water,0.0
2065350.0,-3016100.0,910,Water,0.0
2065440.0,-3016100.0,910,Water,0.0
2065530.0,-3016100.0,910,Water,0.0
2065620.0,-3016100.0,910,Water,0.0
2065710.0,-3016100.0,910,Water,0.0
2065800.0,-3016100.0,910,Water,0.0
2065890.0,-3016100.0,910,Water,0.0
2066250.0,-3016100.0,910,Water,0.0
2066340.0,-3016100.0,910,Water,0.0
2066430.0,-3016100.0,910,Water,0.0
2066520.0,-3016100.0,910,Water,0.0
2066610.0,-3016100.0,910,Water,0.0
2066700.0,-3016100.0,800,Wetlands,0.1
2066790.0,-3016100.0,800,Wetlands,0.1
2066880.0,-3016100.0,800,Wetlands,0.1
2061930.0,-3016190.0,940,Wildland urban interface 3,0.4
2062020.0,-3016190.0,940,Wildland urban interface 3,0.4
2062110.0,-3016190.0,940,Wildland urban interface 3,0.4
2062200.0,-3016190.0,940,Wildland urban interface 3,0.4
2062290.0,-3016190.0,940,Wildland urban interface 3,0.4
2062380.0,-3016190.0,520,Shrubland,0.72
2062470.0,-3016190.0,800,Wetlands,0.1
2062560.0,-3016190.0,800,Wetlands,0.1
2062650.0,-3016190.0,800,Wetlands,0.1
2062740.0,-3016190.0,910,Water,0.0
2062830.0,-3016190.0,910,Water,0.0
2062920.0,-3016190.0,910,Water,0.0
2063010.0,-3016190.0,910,Water,0.0
2063100.0,-3016190.0,910,Water,0.0
2064720.0,-3016190.0,910,Water,0.0
2064810.0,-3016190.0,910,Water,0.0
2064900.0,-3016190.0,910,Water,0.0
2064990.0,-3016190.0,910,Water,0.0
2065080.0,-3016190.0,910,Water,0.0
2065170.0,-3016190.0,910,Water,0.0
2065260.0,-3016190.0,910,Water,0.0
2065350.0,-3016190.0,910,Water,0.0
2065440.0,-3016190.0,910,Water,0.0
2065530.0,-3016190.0,910,Water,0.0
2065620.0,-3016190.0,910,Water,0.0
2065710.0,-3016190.0,910,Water,0.0
2065800.0,-3016190.0,910,Water,0.0
2065890.0,-3016190.0,910,Water,0.0
2066430.0,-3016190.0,910,Water,0.0
2066520.0,-3016190.0,910,Water,0.0
2066610.0,-3016190.0,910,Water,0.0
2066700.0,-3016190.0,800,Wetlands,0.1
2066790.0,-3016190.0,800,Wetlands,0.1
2066880.0,-3016190.0,800,Wetlands,0.1
2061930.0,-3016280.0,220,Open forest,0.82
2062020.0,-3016280.0,940,Wildland urban interface 3,0.4
2062110.0,-3016280.0,940,Wildland urban interface 3,0.4
2062200.0,-3016280.0,940,Wildland urban interface 3,0.4
2062290.0,-3016280.0,940,Wildland urban interface 3,0.4
2062380.0,-3016280.0,940,Wildland urban interface 3,0.4
2062470.0,-3016280.0,800,Wetlands,0.1
2062560.0,-3016280.0,800,Wetlands,0.1
2062650.0,-3016280.0,910,Water,0.0
2062740.0,-3016280.0,910,Water,0.0
2062830.0,-3016280.0,910,Water,0.0
2062920.0,-3016280.0,910,Water,0.0
2063010.0,-3016280.0,910,Water,0.0
2063100.0,-3016280.0,910,Water,0.0
2064720.0,-3016280.0,910,Water,0.0
2064810.0,-3016280.0,910,Water,0.0
2065440.0,-3016280.0,910,Water,0.0
2065530.0,-3016280.0,910,Water,0.0
2065620.0,-3016280.0,910,Water,0.0
2065710.0,-3016280.0,910,Water,0.0
2065800.0,-3016280.0,910,Water,0.0
2065890.0,-3016280.0,910,Water,0.0
2066430.0,-3016280.0,910,Water,0.0
2066520.0,-3016280.0,910,Water,0.0
2066610.0,-3016280.0,910,Water,0.0
2066700.0,-3016280.0,910,Water,0.0
2066790.0,-3016280.0,910,Water,0.0
2066880.0,-3016280.0,910,Water,0.0
2061930.0,-3016370.0,940,Wildland urban interface 3,0.4
2062020.0,-3016370.0,940,Wildland urban interface 3,0.4
2062110.0,-3016370.0,940,Wildland urban interface 3,0.4
2062200.0,-3016370.0,950,Built-up,0.15
2062290.0,-3016370.0,940,Wildland urban interface 3,0.4
2062380.0,-3016370.0,940,Wildland urban interface 3,0.4
2062470.0,-3016370.0,940,Wildland urban interface 3,0.4
2062560.0,-3016370.0,520,Shrubland,0.72
2062650.0,-3016370.0,910,Water,0.0
2062740.0,-3016370.0,910,Water,0.0
2062830.0,-3016370.0,910,Water,0.0
2062920.0,-3016370.0,910,Water,0.0
2063010.0,-3016370.0,910,Water,0.0
2063100.0,-3016370.0,910,Water,0.0
2063910.0,-3016370.0,910,Water,0.0
2064000.0,-3016370.0,910,Water,0.0
2064090.0,-3016370.0,910,Water,0.0
2064720.0,-3016370.0,910,Water,0.0
2064810.0,-3016370.0,910,Water,0.0
2065440.0,-3016370.0,910,Water,0.0
2065530.0,-3016370.0,910,Water,0.0
2065620.0,-3016370.0,910,Water,0.0
2066430.0,-3016370.0,910,Water,0.0
2066520.0,-3016370.0,910,Water,0.0
2066610.0,-3016370.0,910,Water,0.0
2066700.0,-3016370.0,910,Water,0.0
2066790.0,-3016370.0,910,Water,0.0
2066880.0,-3016370.0,910,Water,0.0
2061930.0,-3016460.0,940,Wildland urban interface 3,0.4
2062020.0,-3016460.0,940,Wildland urban interface 3,0.4
2062110.0,-3016460.0,940,Wildland urban interface 3,0.4
2062200.0,-3016460.0,940,Wildland urban interface 3,0.4
2062290.0,-3016460.0,940,Wildland urban interface 3,0.4
2062380.0,-3016460.0,940,Wildland urban interface 3,0.4
2062470.0,-3016460.0,940,Wildland urban interface 3,0.4
2062560.0,-3016460.0,940,Wildland urban interface 3,0.4
2062650.0,-3016460.0,800,Wetlands,0.1
2062740.0,-3016460.0,800,Wetlands,0.1
2062830.0,-3016460.0,800,Wetlands,0.1
2062920.0,-3016460.0,910,Water,0.0
2063010.0,-3016460.0,910,Water,0.0
2063100.0,-3016460.0,910,Water,0.0
2063910.0,-3016460.0,910,Water,0.0
2064000.0,-3016460.0,910,Water,0.0
2064090.0,-3016460.0,910,Water,0.0
2064450.0,-3016460.0,910,Water,0.0
2064540.0,-3016460.0,910,Water,0.0
2065440.0,-3016460.0,910,Water,0.0
2065530.0,-3016460.0,910,Water,0.0
2066160.0,-3016460.0,910,Water,0.0
2066250.0,-3016460.0,910,Water,0.0
2066340.0,-3016460.0,910,Water,0.0
2066430.0,-3016460.0,910,Water,0.0
2066520.0,-3016460.0,910,Water,0.0
2066610.0,-3016460.0,910,Water,0.0
2066700.0,-3016460.0,910,Water,0.0
2066790.0,-3016460.0,910,Water,0.0
2066880.0,-3016460.0,520,Shrubland,0.72
2061930.0,-3016550.0,940,Wildland urban interface 3,0.4
2062020.0,-3016550.0,940,Wildland urban interface 3,0.4
2062110.0,-3016550.0,940,Wildland urban interface 3,0.4
2062200.0,-3016550.0,940,Wildland urban interface 3,0.4
