longitude,latitude,fuel_type_code,fuel_type_label,flammability
152.7907636225105,-27.273321771572494,210,Tall open forest,0.85
152.79167169604287,-27.273191784088013,220,Open forest,0.82
152.79257976745558,-27.273061790973554,220,Open forest,0.82
152.79348783674862,-27.27293179222913,220,Open forest,0.82
152.7943959039219,-27.272801787854753,220,Open forest,0.82
152.79530396897525,-27.272671777850476,220,Open forest,0.82
152.79621203190868,-27.272541762216278,220,Open forest,0.82
152.79712009272208,-27.272411740952204,220,Open forest,0.82
152.79802815141534,-27.27228171405826,220,Open forest,0.82
152.7989362079884,-27.272151681534453,220,Open forest,0.82
152.79984426244116,-27.272021643380825,220,Open forest,0.82
152.80075231477352,-27.27189159959738,421,Woodland with shrubby understory,0.8
152.80166036498545,-27.271761550184138,220,Open forest,0.82
152.80256841307684,-27.271631495141158,220,Open forest,0.82
152.8034764590476,-27.27150143446838,220,Open forest,0.82
152.80438450289762,-27.271371368165877,220,Open forest,0.82
152.80529254462687,-27.271241296233665,220,Open forest,0.82
152.80620058423523,-27.271111218671745,210,Tall open forest,0.85
152.80710862172262,-27.27098113548014,220,Open forest,0.82
152.80801665708893,-27.27085104665888,220,Open forest,0.82
152.80892469033415,-27.270720952207977,220,Open forest,0.82
152.80983272145812,-27.27059085212745,220,Open forest,0.82
152.8107407504608,-27.2704607464173,220,Open forest,0.82
152.8116487773421,-27.270330635077563,220,Open forest,0.82
152.8125568021019,-27.270200518108286,220,Open forest,0.82
152.81346482474018,-27.270070395509435,930,Wildland urban interface 2,0.55
152.8143728452568,-27.26994026728106,220,Open forest,0.82
152.81528086365168,-27.269810133423185,220,Open forest,0.82
152.81618887992477,-27.269679993935785,960,Bare ground,0.05
152.81709689407597,-27.26954984881893,220,Open forest,0.82
152.8180049061052,-27.269419698072603,220,Open forest,0.82
152.81891291601232,-27.269289541696864,220,Open forest,0.82
152.81982092379732,-27.26915937969168,220,Open forest,0.82
152.8207289294601,-27.269029212057113,220,Open forest,0.82
152.82163693300058,-27.268899038793155,210,Tall open forest,0.85
152.8225449344186,-27.26876885989983,220,Open forest,0.82
152.82345293371418,-27.268638675377172,220,Open forest,0.82
152.8243609308872,-27.26850848522518,220,Open forest,0.82
152.82526892593754,-27.268378289443874,210,Tall open forest,0.85
152.82617691886514,-27.268248088033285,220,Open forest,0.82
152.82708490966994,-27.26811788099344,930,Wildland urban interface 2,0.55
152.82799289835182,-27.267987668324324,930,Wildland urban interface 2,0.55
152.82890088491072,-27.267857450025982,220,Open forest,0.82
152.82980886934655,-27.26772722609843,220,Open forest,0.82
152.83071685165922,-27.26759699654167,220,Open forest,0.82
152.83162483184861,-27.26746676135575,220,Open forest,0.82
152.83253280991474,-27.267336520540667,220,Open forest,0.82
152.8334407858574,-27.26720627409644,930,Wildland urban interface 2,0.55
152.8343487596766,-27.26707602202309,930,Wildland urban interface 2,0.55
152.8352567313722,-27.266945764320656,220,Open forest,0.82
152.83616470094412,-27.26681550098913,220,Open forest,0.82
152.83707266839232,-27.266685232028532,220,Open forest,0.82
152.8379806337167,-27.266554957438892,220,Open forest,0.82
152.83888859691714,-27.266424677220222,220,Open forest,0.82
152.83979655799357,-27.266294391372558,930,Wildland urban interface 2,0.55
152.84070451694595,-27.266164099895885,220,Open forest,0.82
152.79091272068197,-27.274113441881138,210,Tall open forest,0.85
152.79182080049486,-27.273983453490295,220,Open forest,0.82
152.79272887818806,-27.27385345946944,220,Open forest,0.82
152.7936369537615,-27.273723459818587,220,Open forest,0.82
152.79454502721512,-27.273593454537764,220,Open forest,0.82
152.79545309854888,-27.273463443626976,220,Open forest,0.82
152.79636116776257,-27.273333427086243,220,Open forest,0.82
152.7972692348562,-27.273203404915623,220,Open forest,0.82
152.79817729982966,-27.27307337711506,220,Open forest,0.82
152.7990853626829,-27.27294334368464,220,Open forest,0.82
152.79999342341574,-27.272813304624364,220,Open forest,0.82
152.80090148202822,-27.272683259934226,220,Open forest,0.82
152.80180953852016,-27.27255320961427,220,Open forest,0.82
152.80271759289153,-27.272423153664498,220,Open forest,0.82
152.8036256451422,-27.272293092084944,210,Tall open forest,0.85
152.8045336952721,-27.272163024875617,210,Tall open forest,0.85
152.8054417432812,-27.272032952036533,220,Open forest,0.82
152.80634978916936,-27.271902873567726,220,Open forest,0.82
152.8072578329365,-27.2717727894692,220,Open forest,0.82
152.80816587458256,-27.271642699740994,210,Tall open forest,0.85
152.80907391410742,-27.27151260438309,210,Tall open forest,0.85
152.80998195151102,-27.27138250339553,220,Open forest,0.82
152.81088998679326,-27.271252396778344,220,Open forest,0.82
152.8117980199541,-27.271122284531526,220,Open forest,0.82
152.81270605099337,-27.2709921666551,220,Open forest,0.82
152.81361407991108,-27.270862043149105,930,Wildland urban interface 2,0.55
152.8145221067071,-27.27073191401354,930,Wildland urban interface 2,0.55
152.81543013138133,-27.270601779248423,220,Open forest,0.82
152.81633815393374,-27.27047163885379,220,Open forest,0.82
152.8172461743642,-27.270341492829637,220,Open forest,0.82
