longitude,latitude,fuel_type_code,fuel_type_label,flammability
153.00876423069894,-27.463144503668396,950,Built-up,0.15
153.00967359833282,-27.46301316902972,950,Built-up,0.15
153.01058296381836,-27.462881828755723,424,Woodland with sparse understory,0.65
153.01149232715542,-27.462750482846413,950,Built-up,0.15
153.01240168834403,-27.4626191313018,950,Built-up,0.15
153.01331104738398,-27.46248777412188,950,Built-up,0.15
153.01422040427522,-27.46235641130671,950,Built-up,0.15
153.0151297590177,-27.462225042856304,434,Low woodland with sparse understory,0.58
153.01603911161132,-27.46209366877066,424,Woodland with sparse understory,0.65
153.016948462056,-27.46196228904982,423,Woodland with grassy understory,0.85
153.01785781035164,-27.46183090369381,423,Woodland with grassy understory,0.85
153.01876715649817,-27.4616995127026,423,Woodland with grassy understory,0.85
153.01967650049548,-27.46156811607626,950,Built-up,0.15
153.02058584234354,-27.461436713814795,950,Built-up,0.15
153.0214951820422,-27.461305305918195,950,Built-up,0.15
153.02240451959142,-27.461173892386533,950,Built-up,0.15
153.02331385499107,-27.461042473219784,950,Built-up,0.15
153.02422318824114,-27.460911048417962,950,Built-up,0.15
153.0251325193415,-27.460779617981142,950,Built-up,0.15
153.02604184829204,-27.460648181909296,950,Built-up,0.15
153.0269511750927,-27.460516740202443,950,Built-up,0.15
153.0278604997434,-27.4603852928606,950,Built-up,0.15
153.00891513538036,-27.46393592962185,950,Built-up,0.15
153.00982450930894,-27.4638045940602,950,Built-up,0.15
153.01073388108912,-27.46367325286316,950,Built-up,0.15
153.0116432507208,-27.463541906030773,950,Built-up,0.15
153.0125526182039,-27.463410553563048,950,Built-up,0.15
153.01346198353838,-27.463279195460014,950,Built-up,0.15
153.0143713467241,-27.46314783172169,950,Built-up,0.15
153.01528070776095,-27.46301646234808,434,Low woodland with sparse understory,0.58
153.01619006664896,-27.462885087339203,940,Wildland urban interface 3,0.4
153.01709942338795,-27.4627537066951,940,Wildland urban interface 3,0.4
153.01800877797785,-27.46262232041576,423,Woodland with grassy understory,0.85
153.01891813041863,-27.462490928501232,423,Woodland with grassy understory,0.85
153.01982748071012,-27.46235953095154,423,Woodland with grassy understory,0.85
153.0207368288523,-27.46222812776666,423,Woodland with grassy understory,0.85
153.02164617484505,-27.462096718946636,950,Built-up,0.15
153.0225555186883,-27.461965304491482,950,Built-up,0.15
153.02346486038198,-27.46183388440125,950,Built-up,0.15
153.024374199926,-27.461702458675916,950,Built-up,0.15
153.02528353732026,-27.461571027315504,950,Built-up,0.15
153.02619287256468,-27.46143959032006,950,Built-up,0.15
153.02710220565916,-27.46130814768957,950,Built-up,0.15
153.02801153660363,-27.461176699424083,950,Built-up,0.15
153.00906604221012,-27.46472735534888,950,Built-up,0.15
153.00997542243346,-27.46459601886417,950,Built-up,0.15
153.01088480050834,-27.46446467674408,950,Built-up,0.15
153.0117941764347,-27.464333328988598,950,Built-up,0.15
153.01270355021245,-27.46420197559773,950,Built-up,0.15
153.01361292184149,-27.464070616571526,950,Built-up,0.15
153.01452229132175,-27.463939251909984,950,Built-up,0.15
153.01543165865314,-27.46380788161314,950,Built-up,0.15
153.01634102383557,-27.463676505680997,950,Built-up,0.15
153.01725038686897,-27.463545124113594,940,Wildland urban interface 3,0.4
153.01815974775323,-27.463413736910923,433,Low woodland with grassy understory,0.8
153.01906910648827,-27.463282344073026,940,Wildland urban interface 3,0.4
153.01997846307407,-27.46315094559991,433,Low woodland with grassy understory,0.8
153.02088781751047,-27.463019541491608,950,Built-up,0.15
153.0217971697974,-27.462888131748127,950,Built-up,0.15
153.02270651993481,-27.462756716369466,950,Built-up,0.15
153.02361586792256,-27.462625295355682,950,Built-up,0.15
153.0245252137606,-27.46249386870678,950,Built-up,0.15
153.02543455744885,-27.46236243642277,950,Built-up,0.15
153.0263438989872,-27.462230998503685,950,Built-up,0.15
153.0272532383756,-27.462099554949535,950,Built-up,0.15
153.02816257561395,-27.461968105760327,950,Built-up,0.15
153.00921695118825,-27.465518780849596,950,Built-up,0.15
153.01012633770642,-27.465387443441823,950,Built-up,0.15
153.01103572207612,-27.465256100398616,950,Built-up,0.15
153.01194510429724,-27.465124751719973,950,Built-up,0.15
153.01285448436968,-27.464993397405937,950,Built-up,0.15
153.01376386229342,-27.464862037456534,950,Built-up,0.15
153.0146732380683,-27.464730671871763,950,Built-up,0.15
153.01558261169427,-27.46459930065163,950,Built-up,0.15
153.01649198317122,-27.464467923796185,950,Built-up,0.15
153.0174013524991,-27.46433654130542,950,Built-up,0.15
153.01831071967783,-27.464205153179385,950,Built-up,0.15
153.01922008470729,-27.464073759418092,950,Built-up,0.15
153.0201294475874,-27.463942360021523,424,Woodland with sparse understory,0.65
153.0210388083181,-27.463810954989732,950,Built-up,0.15
153.02194816689928,-27.463679544322744,950,Built-up,0.15
153.0228575233309,-27.463548128020552,950,Built-up,0.15
153.02376687761284,-27.4634167060832,950,Built-up,0.15
153.024676229745,-27.4632852785107,950,Built-up,0.15
153.02558557972733,-27.46315384530304,950,Built-up,0.15
153.02649492755975,-27.463022406460293,950,Built-up,0.15
153.02740427324213,-27.46289096198242,950,Built-up,0.15
153.0283136167744,-27.462759511869486,950,Built-up,0.15
153.00936786231475,-27.466310206124156,950,Built-up,0.15
153.01027725512787,-27.46617886779326,950,Built-up,0.15
153.01118664579246,-27.466047523826926,950,Built-up,0.15
153.01209603430843,-27.465916174225114,950,Built-up,0.15
153.01300542067568,-27.46578481898785,950,Built-up,0.15
